Order ID,Customer_Name,Category,Sales,Final_Sales,Profit
CA-2014-115812,Brosina Hoffman,Technology,907.152,1070.44,90.7152
CA-2014-115812,Brosina Hoffman,Technology,911.424,1075.48,68.3568
CA-2014-143336,Zuschuss Donatelli,Technology,213.48,251.91,16.011
CA-2016-121755,Eric Hoffmann,Technology,90.57,106.87,11.7741
CA-2016-117590,Gene Hale,Technology,1097.544,1295.1,123.4737
CA-2015-117415,Steve Nguyen,Technology,371.168,437.98,41.7564
CA-2017-120999,Linda Cazamias,Technology,147.168,173.66,16.5564
CA-2016-118255,Odella Nelson,Technology,45.98,54.26,19.7714
CA-2016-169194,Lena Hernandez,Technology,45.0,53.1,4.95
CA-2016-169194,Lena Hernandez,Technology,21.8,25.72,6.104
CA-2016-105816,Janet Molinari,Technology,1029.95,1215.34,298.6855
CA-2016-111682,Ted Butterfield,Technology,30.0,35.4,3.3
CA-2015-135545,Kunst Miller,Technology,13.98,16.5,6.1512
CA-2014-106376,Brendan Sweed,Technology,167.968,198.2,62.988
CA-2017-155558,Paul Gonzalez,Technology,19.99,23.59,6.7966
CA-2016-109806,Jim Sink,Technology,73.584,86.83,8.2782
CA-2016-158568,Rick Bensley,Technology,95.976,113.25,-10.7973
US-2015-156867,Lena Cacioppo,Technology,238.896,281.9,-26.8758
CA-2017-119004,Janet Martin,Technology,74.112,87.45,17.6016
CA-2017-119004,Janet Martin,Technology,27.992,33.03,2.0994
CA-2015-129476,Pete Armstrong,Technology,339.96,401.15,67.992
CA-2016-103730,Steven Cartwright,Technology,68.04,80.29,19.7316
US-2017-164147,Dorothy Wardle,Technology,59.97,70.76,-11.994
CA-2016-114489,Justin Ellison,Technology,384.45,453.65,103.8015
CA-2016-114489,Justin Ellison,Technology,149.97,176.96,5.9988
CA-2016-158834,Tamara Willingham,Technology,203.184,239.76,15.2388
CA-2016-114104,Nora Paige,Technology,944.93,1115.02,236.2325
CA-2015-119697,Eric Murdock,Technology,54.384,64.17,1.3596
CA-2014-139892,Becky Martin,Technology,8159.952,9628.74,-1359.992
CA-2014-139892,Becky Martin,Technology,143.976,169.89,8.9985
CA-2014-166191,David Kendrick,Technology,408.744,482.32,76.6395
CA-2014-158274,Robert Marley,Technology,503.96,594.67,131.0296
CA-2014-158274,Robert Marley,Technology,149.95,176.94,41.986
CA-2014-158274,Robert Marley,Technology,29.0,34.22,7.25
CA-2014-123260,Frank Merwin,Technology,176.8,208.62,22.984
CA-2015-102281,Mark Packer,Technology,71.76,84.68,20.0928
CA-2017-108329,Laurel Elliston,Technology,444.768,524.83,44.4768
CA-2017-135860,Joseph Holt,Technology,131.98,155.74,35.6346
CA-2015-101007,Michael Stewart,Technology,20.8,24.54,6.5
CA-2015-146262,Victoria Wilson,Technology,62.982,74.32,-14.6958
CA-2015-146262,Victoria Wilson,Technology,1188.0,1401.84,-950.4
CA-2015-146262,Victoria Wilson,Technology,89.584,105.71,4.4792
CA-2016-130162,Jonathan Howell,Technology,302.376,356.8,22.6782
CA-2015-169397,Joni Blumstein,Technology,479.988,566.39,-383.9904
US-2017-100930,Christopher Schild,Technology,617.976,729.21,-7.7247
CA-2016-157749,Ken Lonsdale,Technology,31.984,37.74,11.1944
CA-2016-145625,Kelly Collister,Technology,3347.37,3949.9,636.0003
US-2015-159982,Dan Reichenbach,Technology,647.904,764.53,56.6916
CA-2017-163139,Craig Carreira,Technology,20.37,24.04,6.9258
US-2014-106992,Sean Braxton,Technology,3059.982,3610.78,-509.997
US-2014-106992,Sean Braxton,Technology,2519.958,2973.55,-251.9958
CA-2016-125318,Roy Collins,Technology,328.224,387.3,28.7196
CA-2015-155040,Alan Hwang,Technology,79.9,94.28,35.156
CA-2015-155334,Helen Andreada,Technology,209.93,247.72,92.3692
US-2015-161991,Steven Cartwright,Technology,1114.4,1314.99,376.11
CA-2015-130883,Tracy Blumstein,Technology,239.8,282.96,47.96
CA-2016-110772,Nick Zandusky,Technology,255.984,302.06,54.3966
CA-2014-167850,Andy Gerbode,Technology,178.384,210.49,22.298
CA-2014-164973,Nathan Mautz,Technology,3991.98,4710.54,1995.99
CA-2014-164973,Nathan Mautz,Technology,275.94,325.61,80.0226
CA-2014-164973,Nathan Mautz,Technology,360.0,424.8,129.6
CA-2016-162138,Grace Kelly,Technology,99.99,117.99,34.9965
US-2016-141544,Patrick O'Brill,Technology,290.898,343.26,-67.8762
US-2016-150147,John Lucas,Technology,82.8,97.7,-20.7
CA-2015-137946,Doug Bickford,Technology,959.984,1132.78,335.9944
CA-2014-122336,Jonathan Doherty,Technology,71.928,84.88,8.3916
CA-2017-169901,Clay Cheatham,Technology,47.976,56.61,4.7976
CA-2016-129714,Adam Bellavance,Technology,6.79,8.01,2.3086
US-2014-119137,Arthur Gainer,Technology,1023.936,1208.24,179.1888
US-2014-119137,Arthur Gainer,Technology,479.04,565.27,-29.94
CA-2015-125395,Laura Armstrong,Technology,41.9,49.44,8.799
US-2015-168935,Denny Ordway,Technology,83.976,99.09,-1.0497
CA-2015-122756,Dean Katz,Technology,482.34,569.16,-337.638
CA-2017-101798,Mike Vittorini,Technology,39.98,47.18,13.5932
US-2014-135972,Jack Garza,Technology,246.384,290.73,27.7182
US-2014-135972,Jack Garza,Technology,1799.97,2123.96,701.9883
CA-2016-108987,Anna Gayman,Technology,57.584,67.95,0.7198
CA-2017-117457,Keith Herrera,Technology,179.95,212.34,37.7895
CA-2017-117457,Keith Herrera,Technology,1199.976,1415.97,434.9913
CA-2014-142048,Joel Eaton,Technology,196.752,232.17,56.5662
CA-2014-101476,Shirley Daniels,Technology,69.99,82.59,30.0957
US-2016-123750,Ross Baird,Technology,408.744,482.32,76.6395
US-2016-123750,Ross Baird,Technology,291.96,344.51,54.7425
US-2014-150574,Mike Kennedy,Technology,247.8,292.4,-18.585
CA-2016-147375,Philisse Overcash,Technology,1007.979,1189.42,43.1991
CA-2016-166674,Raymond Buch,Technology,35.12,41.44,9.1312
CA-2016-100153,Ken Heidel,Technology,63.88,75.38,24.9132
CA-2015-109638,Joseph Holt,Technology,899.91,1061.89,377.9622
CA-2014-144666,Jeremy Pistek,Technology,703.968,830.68,87.996
CA-2016-103891,Kristen Hastings,Technology,95.76,113.0,7.182
CA-2014-134677,Xylona Preis,Technology,9.09,10.73,1.9089
CA-2014-127691,Erin Mull,Technology,159.98,188.78,57.5928
CA-2017-140963,Michelle Tran,Technology,279.96,330.35,17.4975
CA-2014-154627,Sue Ann Reed,Technology,2735.952,3228.42,341.994
CA-2014-133753,Carl Weiss,Technology,7.992,9.43,0.5994
CA-2014-133753,Carl Weiss,Technology,63.984,75.5,10.3974
CA-2016-169166,Sonia Sunley,Technology,93.98,110.9,13.1572
CA-2017-135307,Lynn Smith,Technology,38.04,44.89,12.1728
CA-2017-127432,Alan Dominguez,Technology,2999.95,3539.94,1379.977
CA-2015-157812,Dean Braden,Technology,18.392,21.7,5.2877
US-2016-139486,Logan Haushalter,Technology,55.176,65.11,-12.4146
US-2016-139486,Logan Haushalter,Technology,66.26,78.19,27.1666
CA-2016-168753,Rob Lucas,Technology,979.95,1156.34,274.386
CA-2014-140795,Bradley Drucker,Technology,468.9,553.3,206.316
CA-2016-136924,Erin Smith,Technology,380.864,449.42,38.0864
CA-2014-103849,Paul Gonzalez,Technology,58.112,68.57,7.264
CA-2014-103849,Paul Gonzalez,Technology,100.792,118.93,6.2995
CA-2017-137099,Frank Preis,Technology,374.376,441.76,46.797
CA-2017-164826,Jennifer Ferguson,Technology,14.85,17.52,4.0095
CA-2017-145233,Dianna Vittorini,Technology,470.376,555.04,52.9173
CA-2017-145233,Dianna Vittorini,Technology,105.584,124.59,9.2386
CA-2017-145233,Dianna Vittorini,Technology,406.368,479.51,30.4776
US-2016-156986,Zuschuss Carroll,Technology,84.784,100.05,-20.1362
CA-2014-135405,Melanie Seite,Technology,31.2,36.82,9.75
CA-2014-131450,Lena Radford,Technology,1199.976,1415.97,434.9913
CA-2014-131450,Lena Radford,Technology,445.96,526.23,55.745
US-2016-100720,Chloris Kastensmidt,Technology,143.982,169.9,-28.7964
US-2016-100720,Chloris Kastensmidt,Technology,494.376,583.36,-115.3544
US-2014-105767,Andrew Roberts,Technology,55.188,65.12,-10.1178
CA-2016-161816,Nona Balk,Technology,369.576,436.1,41.5773
CA-2016-121223,Giulietta Dortch,Technology,728.946,860.16,-157.9383
CA-2017-138611,Clytie Kelty,Technology,119.94,141.53,15.992
CA-2017-117947,Nat Gilpin,Technology,37.91,44.73,10.9939
US-2016-135720,Fred McMath,Technology,119.8,141.36,29.95
US-2016-135720,Fred McMath,Technology,300.768,354.91,30.0768
CA-2017-144694,Brian Dahlen,Technology,17.88,21.1,2.4585
CA-2017-106103,Sean Christensen,Technology,132.52,156.37,54.3332
CA-2016-160745,Anthony Rawles,Technology,302.376,356.8,22.6782
CA-2016-160745,Anthony Rawles,Technology,316.0,372.88,31.6
CA-2017-140844,Allen Rosenblatt,Technology,103.12,121.68,10.312
CA-2017-132682,Tiffany House,Technology,381.576,450.26,28.6182
CA-2017-130351,Rob Beeghly,Technology,99.39,117.28,40.7499
US-2017-119438,Carol Darley,Technology,27.816,32.82,4.5201
